post_date,verified,resultid,submittingmemberid,submittingplayerid,winner1id,win1_utr,win1_verutr,loser1id,los1_utr,los1_verutr,score,gamesplayed,finalized
2019-04-26,myutr,15600839,45506,820655,820655,,7.93,143660,8.0,7.95,"4-6, 6-3, 1-0",20,1
2019-04-22,myutr,15530186,86968,243137,188222,8.83,8.82,243137,8.49,8.47,"7-5, 6-2",20,1
2019-04-25,myutr,15585939,112811,920979,920979,6.0,5.49,1298143,4.44,0.0,"6-2, 7-5",20,1
2019-04-10,myutr,15321110,142190,1024037,1024037,4.15,0.0,1075423,3.64,0.0,"6-4, 6-4",20,1
2019-04-23,myutr,15537693,155134,790271,790271,,4.55,892851,,5.05,"6-4, 3-6, 1-0",20,1
2019-04-24,myutr,15541624,70318,763279,218667,,8.6,763279,,6.49,"6-4, 6-4",20,1
2019-04-22,myutr,15529887,87731,218629,156184,10.16,10.18,218629,9.38,9.35,"6-4, 6-4",20,1
2019-04-24,myutr,15541670,8522,119763,119763,,9.5,945466,9.0,8.28,"6-4, 6-4",20,1
2019-04-25,myutr,15585984,112646,100319,100319,14.0,10.18,100333,,9.43,"6-4, 6-4",20,1
2019-04-25,myutr,15586224,72317,192971,366292,,10.43,192971,,7.58,"6-4, 6-4",20,1
2019-04-23,myutr,15533441,47670,1025907,1025907,9.63,9.6,1227065,11.0,8.93,"6-2, 7-5",20,1
2019-04-24,myutr,15566678,68303,188568,188568,,5.68,302116,,5.93,"3-5, 4-2, 4-2",20,1
2019-04-25,myutr,15593980,16907,366362,366362,,9.99,99284,,10.84,"6-1, 7-6",20,1
2019-04-23,myutr,15537749,135789,996344,996348,7.99,8.26,996344,8.0,8.19,"6-4, 6-4",20,1
2019-04-24,myutr,15541685,84134,140465,140465,,5.67,769079,,6.43,"6-4, 6-4",20,1
2019-04-23,myutr,15530372,177469,737048,737048,2.81,2.68,494281,2.97,3.42,"6-2, 7-5",20,1
2019-04-23,myutr,15535175,64664,118355,118355,,8.6,128532,,8.85,"6-1, 7-6",20,1
2019-04-23,myutr,15533747,100774,398485,398485,8.84,9.36,113849,,9.97,"6-4, 6-4",20,1
2019-04-23,myutr,15537022,95223,857303,111771,,8.21,857303,16.0,4.94,"6-2, 7-5",20,1
2019-04-24,myutr,15585773,62088,165609,165609,,10.22,229560,,10.79,"3-6, 6-4, 1-0",20,1
2019-04-24,myutr,15573270,109659,224317,224317,,5.9,343064,7.0,6.64,"3-6, 6-4, 1-0",20,1
2019-04-23,myutr,15533133,45469,68826,68826,7.53,7.48,214753,9.1,9.63,"6-2, 7-5",20,1
2019-04-23,myutr,15531834,187002,223092,975933,12.15,12.59,223092,10.64,10.96,"6-1, 7-5",19,1
2019-04-23,myutr,15530365,24696,98334,119349,11.42,11.43,98334,10.61,10.65,"4-6, 6-2, 1-0",19,1
2019-04-26,myutr,15598340,195803,1360930,1360930,5.0,0.0,233519,,8.47,"5-0, 1-0, 6-7",19,1
2019-04-22,myutr,15530169,95119,1194571,1194571,10.09,10.19,127709,9.35,9.47,"2-4, 4-2, 4-3",19,1
2019-04-22,myutr,15529893,113662,202364,202364,9.71,9.94,890464,10.2,10.45,"7-5, 6-1",19,1
2019-04-24,myutr,15585828,172753,853185,853185,,1.77,829977,,1.76,"6-4, 6-3",19,0
2019-04-23,myutr,15537632,46236,242274,242274,3.09,0.0,253941,8.0,7.62,"4-6, 6-2, 1-0",19,1
2019-04-23,myutr,15530393,194520,243813,243813,4.67,4.69,170726,3.8,3.88,"6-4, 6-3",19,1
2019-04-24,myutr,15557612,169218,1287755,832239,,2.86,1287755,5.0,0.0,"6-1, 7-5",19,1
2019-04-23,myutr,15537756,135789,996344,130204,,8.57,996344,8.0,8.19,"6-3, 6-4",19,1
2019-04-22,myutr,15529593,135367,228553,228553,7.89,8.34,848123,,6.74,"6-4, 6-3",19,0
2019-04-22,myutr,15530237,25595,120309,120309,,7.05,908983,,6.5,"6-3, 6-4",19,0
2019-04-24,myutr,15585733,146043,856755,856755,10.0,3.38,225735,,4.12,"7-5, 6-1",19,1
2019-04-25,myutr,15597092,195683,1360857,1360857,13.0,0.0,1095731,9.5,12.76,"6-4, 6-3",19,1
2019-03-20,myutr,15048061,19189,165468,165468,9.39,9.62,992684,8.41,8.71,"6-1, 7-5",19,1
2019-04-25,myutr,15586801,64664,118355,63399,,10.4,118355,,8.6,"6-3, 3-6, 1-0",19,1
2019-04-23,myutr,15535059,63179,117561,117561,,9.08,922333,,9.07,"6-3, 6-4",19,1
2019-04-22,myutr,15530149,190348,298355,298355,8.39,8.07,190936,7.79,7.8,"6-3, 6-4",19,1
2019-04-22,myutr,15530345,2905,119044,210797,7.1,7.11,119044,7.35,7.35,"6-3, 3-6, 1-0",19,1
2019-04-25,myutr,15597093,37877,245489,245489,,7.8,291441,,8.55,"6-0, 7-6",19,1
2019-04-13,myutr,15356364,172308,1295295,1296776,6.29,0.0,1295295,6.42,0.0,"6-1, 7-5",19,1
