PlayerID,Rank
4205,1
4584,2
49944,3
3456,4
4515,5
5059,6
52294,7
253923,8
206792,9
206800,10
3806,11
3907,12
3982,13
3695,14
49869,15
3507,16
4726,17
3458,18
3478,19
3656,20
3745,21
79558,22
124948,23
3570,24
3652,25
3691,26
3927,27
3495,28
3871,29
4193,30
58228,31
60157,32
3475,33
3741,34
50454,35
53378,36
203816,37
4401,38
4504,39
27273,40
53255,41
3965,42
4484,43
52886,44
94283,45
734160,46
3558,47
3673,48
3862,49
3867,50
4122,51
4622,52
67623,53
151401,54
534560,55
3468,56
3758,57
3943,58
3993,59
5218,60
10019,61
70784,62
74716,63
206783,64
224142,65
3464,66
3734,67
4756,68
4954,69
51293,70
51297,71
73237,72
224678,73
3659,74
3765,75
3853,76
52847,77
54111,78
54351,79
70414,80
77968,81
83620,82
115535,83
260593,84
3518,85
3821,86
4041,87
52873,88
58977,89
70402,90
206798,91
217512,92
806774,93
3469,94
3632,95
3882,96
3884,97
54171,98
55282,99
56303,100
95161,101
218163,102
235621,103
240231,104
411593,105
3623,106
3712,107
4047,108
4225,109
4309,110
4802,111
42681,112
51289,113
52337,114
173321,115
207037,116
3587,117
3626,118
3901,119
3910,120
3959,121
4072,122
4417,123
4875,124
7479,125
9997,126
28085,127
28718,128
67610,129
83218,130
142094,131
207045,132
3482,133
3501,134
3775,135
3894,136
6263,137
49954,138
53149,139
69187,140
95506,141
206794,142
206807,143
3498,144
3499,145
3586,146
3878,147
3915,148
4053,149
4630,150
5164,151
46561,152
54846,153
81226,154
93116,155
177312,156
3654,157
4169,158
4348,159
87175,160
125233,161
206781,162
207039,163
212029,164
224134,165
3534,166
3948,167
45571,168
54552,169
205445,170
3503,171
3533,172
3605,173
3711,174
3868,175
3887,176
4151,177
4331,178
49875,179
206806,180
218159,181
3465,182
3486,183
3671,184
51259,185
196997,186
198546,187
253195,188
256513,189
369129,190
3701,191
9705,192
373773,193
3460,194
3718,195
52833,196
72527,197
75587,198
28097,199
4957,200
3761,201
28298,202
3596,203
4707,204
28096,205
366177,206
962960,207
3832,208
4190,209
4654,210
51314,211
52341,212
54130,213
273950,214
3490,215
3674,216
51296,217
83696,218
182461,219
4769,220
53449,221
77973,222
93398,223
206796,224
3700,225
4820,226
196974,227
897744,228
3466,229
3569,230
27335,231
28080,232
53058,233
217515,234
681018,235
3724,236
3963,237
3979,238
4055,239
4372,240
4445,241
49955,242
51288,243
51290,244
51794,245
52870,246
57529,247
64675,248
79623,249
95375,250
162815,251
3462,252
3860,253
3981,254
4030,255
4783,256
7681,257
28518,258
153710,259
206332,260
253894,261
3487,262
3588,263
3635,264
3790,265
3801,266
5016,267
53238,268
54182,269
60156,270
204410,271
221264,272
3497,273
3610,274
3723,275
4024,276
4283,277
4508,278
4537,279
4722,280
4750,281
5246,282
28094,283
45588,284
45625,285
45660,286
49948,287
49953,288
59419,289
67499,290
76531,291
81871,292
176778,293
190038,294
191106,295
224122,296
825151,297
3608,298
3725,299
3855,300
4686,301
4690,302
28081,303
49900,304
53059,305
81997,306
89740,307
205032,308
205461,309
207061,310
217514,311
298703,312
675570,313
3687,314
3961,315
4465,316
4929,317
6491,318
49899,319
50450,320
51653,321
53840,322
54348,323
54638,324
54902,325
65230,326
74171,327
90634,328
114367,329
182463,330
252053,331
378338,332
